[06:15:04.991] |W| [unimplemented_impl]: Unimplemented sceGxmSetBackVisibilityTestEnable import called.
[06:15:04.996] |D| [renderer::gl::texture::translate_swizzle]: base format: 201326592, swizzle: 0
[06:15:04.996] |W| [unimplemented_impl]: Unimplemented sceCommonDialogUpdate import called.
[06:15:04.998] |I| [renderer::gl::load_shader_generic]: Generating frag shader e05933536cd1490d423c0e103aed0a0e9bc96bceca1f4f76a7904d4c4ad8eb3b
[06:15:04.999] |D| [shader::create_fragment_inputs]: Iterator: pa0 = (half4) v_Color0
[06:15:04.999] |W| [stubbed_impl]: Stubbed sceDisplayWaitVblankStartMultiCB import called. (wait for vblank)
[06:15:04.999] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.002] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.002] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.014] |I| [renderer::gl::load_shader_generic]: Generating vert shader 3ac16576518f392d32310bc7d10a88a05992aa3c01cf064348ca94bfe0a71b03
[06:15:05.015] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) a_Position
[06:15:05.015] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) a_Color
[06:15:05.017] |I| [export_sceIoOpen]: Opening file: app0:/rom/rodata.rom
[06:15:05.019] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.036] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.037] |W| [stubbed_impl]: Stubbed sceDisplayWaitSetFrameBufMultiCB import called. (move after setframebuf)
[06:15:05.037] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.037] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.053] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.053] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.055] |E| [logging::ret_error_impl]: sceKernelWaitEventFlagCB returned SCE_KERNEL_ERROR_WAIT_TIMEOUT (0x80028005)
[06:15:05.070] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.087] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.104] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.121] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.121] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.137] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.138] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.138] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.155] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.155] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.157] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.171] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.172] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.172] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.189] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.189] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.201] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.206] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.206] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.206] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.223] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.223] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.223] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.240] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.240] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.240] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.257] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.257] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.257] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.273] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.274] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.274] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.291] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.291] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.291] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.307] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.308] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.308] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.325] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.325] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.325] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.342] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.342] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.351] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.359] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.359] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.359] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.376] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
[06:15:05.376] |D| [export_sceDisplayWaitSetFrameBufMultiCB]: WaitSetFrameBufMultiCB: 1
[06:15:05.376] |D| [export_sceDisplayWaitVblankStartMultiCB]: WaitVblankStartMultiCB: 1
[06:15:05.393] |D| [export_sceDisplayWaitVblankStartCB]: WaitVblankStartCB: 1
